,X,Y,Z
561,171.548,44.98,
562,171.553,46.353,
563,171.546,47.532,
564,171.502,48.188,
565,171.379,48.833,
566,171.178,49.458,
567,170.903,50.055,
568,170.558,50.614,
569,170.147,51.127,
570,169.677,51.586,
571,169.155,51.984,
572,168.588,52.316,
573,167.985,52.577,
574,167.355,52.763,
575,166.707,52.871,
576,166.146,52.9,
577,163.68,52.9,
578,163.024,52.86,
579,162.378,52.741,
580,161.751,52.544,
581,161.153,52.272,
582,160.592,51.93,
583,160.077,51.522,
584,159.615,51.055,
585,159.214,50.535,
586,158.878,49.971,
587,158.614,49.369,
588,158.424,48.74,
589,158.313,48.093,
590,158.28,47.53,
591,158.271,45.853,
592,158.276,44.969,
593,158.32,44.314,
594,158.443,43.669,
595,158.842,43.721,
596,159.042,43.121,
597,159.316,42.552,
598,159.66,42.021,
599,160.068,41.538,
600,160.534,41.111,
601,161.05,40.745,
602,161.607,40.448,
603,162.198,40.223,
604,162.813,40.075,
605,163.676,40,
606,166.148,40,
607,166.779,40.04,
608,167.4,40.159,
609,168,40.356,
610,168.572,40.627,
611,169.104,40.967,
612,169.589,41.373,
613,170.019,41.836,
614,170.388,42.35,
615,170.688,42.906,
616,170.916,43.495,
617,171.068,44.109,
618,171.148,44.981,
619,171.153,46.351,
620,171.146,47.53,
621,171.102,48.16,
622,170.979,48.78,
623,170.779,49.38,
624,170.505,49.95,
625,170.161,50.48,
626,169.753,50.963,
627,169.287,51.39,
628,168.771,51.755,
629,168.213,52.053,
630,167.622,52.277,
631,167.008,52.425,
632,166.146,52.5,
633,163.68,52.5,
634,163.049,52.46,
635,162.428,52.341,
636,161.828,52.144,
637,161.256,51.873,
638,160.724,51.533,
639,160.239,51.127,
640,159.809,50.664,
641,159.44,50.15,
642,159.14,49.594,
643,158.912,49.005,
644,158.76,48.391,
645,158.68,47.528,
646,158.671,45.856,
647,158.676,44.972,
648,158.72,44.341,
649,158.842,43.721,
650,159.242,43.775,
651,159.442,43.203,
652,159.715,42.662,
653,160.057,42.161,
654,160.461,41.71,
655,160.922,41.315,
656,161.431,40.985,
657,161.978,40.725,
658,162.555,40.539,
659,163.152,40.43,
660,163.676,40.4,
661,166.148,40.4,
662,166.753,40.44,
663,167.347,40.559,
664,167.921,40.755,
665,168.464,41.026,
666,168.967,41.365,
667,169.42,41.767,
668,169.817,42.225,
669,170.15,42.732,
670,170.414,43.278,
671,170.603,43.854,
672,170.715,44.45,
673,170.748,44.983,
674,170.753,46.348,
675,170.746,47.527,
676,170.702,48.132,
677,170.58,48.726,
678,170.38,49.298,
679,170.107,49.839,
680,169.765,50.34,
681,169.36,50.791,
682,168.899,51.185,
683,168.39,51.515,
684,167.843,51.776,
685,167.266,51.962,
686,166.669,52.07,
687,166.146,52.1,
688,163.68,52.1,
689,163.075,52.06,
690,162.481,51.941,
691,161.907,51.745,
692,161.364,51.474,
693,160.861,51.135,
694,160.408,50.733,
695,160.011,50.275,
696,159.678,49.768,
697,159.414,49.222,
698,159.225,48.646,
699,159.113,48.05,
700,159.08,47.526,
701,159.071,45.858,
702,159.076,44.974,
703,159.119,44.369,
704,159.242,43.775,
705,159.642,43.832,
706,159.841,43.288,
707,160.113,42.777,
708,160.452,42.308,
709,160.854,41.89,
710,161.308,41.531,
711,161.808,41.238,
712,162.344,41.017,
713,162.905,40.871,
714,163.676,40.8,
715,166.148,40.8,
716,166.726,40.84,
717,167.293,40.959,
718,167.838,41.155,
719,168.351,41.424,
720,168.822,41.761,
721,169.242,42.16,
722,169.604,42.613,
723,169.899,43.111,
724,170.124,43.645,
725,170.272,44.205,
726,170.348,44.984,
727,170.353,46.346,
728,170.346,47.525,
729,170.303,48.103,
730,170.18,48.669,
731,169.981,49.213,
732,169.709,49.724,
733,169.369,50.193,
734,168.967,50.611,
735,168.513,50.97,
736,168.013,51.262,
737,167.477,51.483,
738,166.916,51.629,
739,166.146,51.7,
740,163.68,51.7,
741,163.102,51.66,
742,162.535,51.541,
743,161.99,51.345,
744,161.477,51.076,
745,161.006,50.739,
746,160.586,50.34,
747,160.224,49.887,
748,159.929,49.389,
749,159.704,48.855,
750,159.556,48.295,
751,159.48,47.523,
752,159.471,45.86,
753,159.476,44.976,
754,159.519,44.399,
755,159.642,43.832,
756,160.041,43.892,
757,160.24,43.378,
758,160.51,42.898,
759,160.848,42.462,
760,161.244,42.08,
761,161.692,41.759,
762,162.182,41.506,
763,162.703,41.327,
764,163.244,41.225,
765,163.676,41.2,
766,166.148,41.2,
767,166.698,41.24,
768,167.236,41.359,
769,167.751,41.555,
770,168.232,41.823,
